1476523825.354635354635: rece_time:1476523846.011178017
1476523909.356935356935: rece_time:1476523930.014683962
1476523910.356818356818: rece_time:1476523931.014658928
1476523911.357161357161: rece_time:1476523932.015038013
1476523912.357980357980: rece_time:1476523933.015829086
1476523913.357072357072: rece_time:1476523934.014900923
1476523914.356878356878: rece_time:1476523935.014712095
1476523915.357492357492: rece_time:1476523936.015527964
1476523916.357209357209: rece_time:1476523937.015181065
1476523917.357035357035: rece_time:1476523938.014935970
1476523918.357187357187: rece_time:1476523939.015321016
1476523919.357004357004: rece_time:1476523940.014966011
1476523920.357092357092: rece_time:1476523941.015153885
1476523921.357208357208: rece_time:1476523942.015382051
1476523922.357179357179: rece_time:1476523943.015193939
1476523923.357293357293: rece_time:1476523944.015341997
1476523924.357332357332: rece_time:1476523945.015450001
1476523925.357228357228: rece_time:1476523946.015229940
1476523926.357226357226: rece_time:1476523947.015362024
1476523927.357453357453: rece_time:1476523948.015551090
1476523928.357355357355: rece_time:1476523949.015459061
1476523929.357370357370: rece_time:1476523950.015438080
1476523930.361608361608: rece_time:1476523951.019746065
1476523931.357385357385: rece_time:1476523952.015482903
1476523932.357721357721: rece_time:1476523953.015959024
1476523933.357395357395: rece_time:1476523954.015580893
1476523934.357394357394: rece_time:1476523955.015564919
1476523935.357425357425: rece_time:1476523956.015645981
1476523936.357448357448: rece_time:1476523957.015646935
1476523937.358221358221: rece_time:1476523958.016426086
1476523938.357923357923: rece_time:1476523959.016256094
1476523939.357571357571: rece_time:1476523960.015814066
1476523940.357778357778: rece_time:1476523961.016108990
1476523941.357995357995: rece_time:1476523962.016280890
1476523942.357586357586: rece_time:1476523963.015948057
1476523943.357620357620: rece_time:1476523964.015959024
1476523944.357675357675: rece_time:1476523965.016098022
1476523945.357793357793: rece_time:1476523966.016102076
1476523946.357752357752: rece_time:1476523967.016132116
1476523947.357769357769: rece_time:1476523968.016166925
1476523948.357758357758: rece_time:1476523969.016185999
1476523949.357785357785: rece_time:1476523970.016191006
1476523950.357795357795: rece_time:1476523971.016251087
1476523951.357932357932: rece_time:1476523972.016454935
1476523952.358060358060: rece_time:1476523973.016571045
1476523953.358046358046: rece_time:1476523974.016565084
1476523954.357934357934: rece_time:1476523975.016463995
1476523955.362078362078: rece_time:1476523976.020672083
1476523956.358158358158: rece_time:1476523977.016690016
1476523957.358114358114: rece_time:1476523978.016633987
1476523958.358121358121: rece_time:1476523979.016689062
1476523959.358018358018: rece_time:1476523980.016561985
1476523960.358130358130: rece_time:1476523981.016695976
1476523961.358067358067: rece_time:1476523982.016796112
1476523962.358383358383: rece_time:1476523983.017030001
1476523963.358310358310: rece_time:1476523984.016972065
1476523964.358250358250: rece_time:1476523985.016968966
1476523965.358301358301: rece_time:1476523986.016956091
1476523966.358309358309: rece_time:1476523987.017041922
1476523967.358348358348: rece_time:1476523988.017024040
1476523968.358256358256: rece_time:1476523989.016968012
1476523969.358265358265: rece_time:1476523990.016977072
1476523970.358313358313: rece_time:1476523991.017082930
1476523971.358553358553: rece_time:1476523992.017383099
1476523972.358385358385: rece_time:1476523993.017183065
1476523973.358463358463: rece_time:1476523994.017313004
1476523974.358419358419: rece_time:1476523995.017173052
1476523975.358453358453: rece_time:1476523996.017205954
1476523976.358547358547: rece_time:1476523997.017384052
1476523977.358505358505: rece_time:1476523998.017445087
1476523978.358566358566: rece_time:1476523999.017438889
1476523979.358713358713: rece_time:1476524000.017591953
1476523980.358636358636: rece_time:1476524001.017561913
1476523981.358772358772: rece_time:1476524002.017781019
1476523982.358654358654: rece_time:1476524003.017646074
1476523983.358664358664: rece_time:1476524004.017709970
1476523984.358782358782: rece_time:1476524005.017667055
1476523985.358684358684: rece_time:1476524006.017714977
1476523986.358696358696: rece_time:1476524007.017740965
1476523987.358897358897: rece_time:1476524008.017920017
1476523988.358829358829: rece_time:1476524009.017826080
1476523989.358808358808: rece_time:1476524010.017838955
1476523990.358854358854: rece_time:1476524011.017841101
1476523991.358958358958: rece_time:1476524012.017966986
1476523992.358931358931: rece_time:1476524013.018043041
1476523993.358918358918: rece_time:1476524014.018054962
1476523994.358918358918: rece_time:1476524015.018044949
1476523995.359039359039: rece_time:1476524016.018214941
1476523996.359208359208: rece_time:1476524017.018337965
1476523997.359096359096: rece_time:1476524018.018258095
1476523998.361870361870: rece_time:1476524019.021034002
1476523999.359110359110: rece_time:1476524020.018301964
1476524000.359098359098: rece_time:1476524021.018378973
1476524001.359148359148: rece_time:1476524022.018347025
1476524002.359154359154: rece_time:1476524023.018435001
1476524003.359261359261: rece_time:1476524024.018572092
1476524004.359227359227: rece_time:1476524025.018481016
1476524005.359250359250: rece_time:1476524026.018615961
1476524006.359332359332: rece_time:1476524027.018593073
1476524007.359232359232: rece_time:1476524028.018539906
1476524008.359271359271: rece_time:1476524029.018692970
1476524009.359364359364: rece_time:1476524030.018703938
1476524010.359538359538: rece_time:1476524031.018872976
1476524011.359649359649: rece_time:1476524032.018974066
1476524012.359687359687: rece_time:1476524033.019165039
1476524013.359476359476: rece_time:1476524034.018913984
1476524014.359436359436: rece_time:1476524035.018836021
1476524015.359720359720: rece_time:1476524036.019298077
1476524016.359518359518: rece_time:1476524037.018965006
1476524017.359494359494: rece_time:1476524038.019031048
1476524018.359540359540: rece_time:1476524039.019052029
1476524019.359771359771: rece_time:1476524040.019288063
1476524020.359679359679: rece_time:1476524041.019259930
1476524021.359664359664: rece_time:1476524042.019215107
1476524022.359650359650: rece_time:1476524043.019150972
1476524023.359655359655: rece_time:1476524044.019176006
1476524024.359663359663: rece_time:1476524045.019205093
1476524025.359730359730: rece_time:1476524046.019381046
1476524026.359810359810: rece_time:1476524047.019383907
1476524027.359804359804: rece_time:1476524048.019454002
1476524028.359949359949: rece_time:1476524049.019546986
1476524029.359992359992: rece_time:1476524050.019676924
1476524030.360087360087: rece_time:1476524051.019741058
1476524031.359892359892: rece_time:1476524052.019623995
1476524032.360276360276: rece_time:1476524053.020040989
1476524033.359915359915: rece_time:1476524054.019673109
1476524034.360006360006: rece_time:1476524055.019653082
1476524035.360134360134: rece_time:1476524056.019795895
1476524036.360070360070: rece_time:1476524057.019880056
1476524037.360080360080: rece_time:1476524058.019901991
1476524038.360132360132: rece_time:1476524059.019923925
1476524039.360271360271: rece_time:1476524060.020087004
1476524040.360124360124: rece_time:1476524061.019975901
1476524041.360119360119: rece_time:1476524062.019994974
1476524042.360148360148: rece_time:1476524063.020054102
1476524043.360217360217: rece_time:1476524064.020061970
1476524044.360270360270: rece_time:1476524065.020167112
1476524045.360312360312: rece_time:1476524066.020234108
1476524046.360282360282: rece_time:1476524067.020277023
1476524047.360266360266: rece_time:1476524068.020282984
1476524048.360346360346: rece_time:1476524069.020231009
1476524049.360403360403: rece_time:1476524070.020473957
1476524050.360392360392: rece_time:1476524071.020342112
1476524051.360374360374: rece_time:1476524072.020354986
1476524052.360438360438: rece_time:1476524073.020518064
1476524053.360406360406: rece_time:1476524074.020436049
1476524054.360536360536: rece_time:1476524075.020592928
1476524055.360700360700: rece_time:1476524076.020699024
1476524056.360506360506: rece_time:1476524077.020627975
1476524057.360619360619: rece_time:1476524078.020781040
1476524058.360534360534: rece_time:1476524079.020642996
1476524059.360617360617: rece_time:1476524080.020694971
1476524060.360787360787: rece_time:1476524081.020987034
1476524061.360609360609: rece_time:1476524082.020703077
1476524062.360635360635: rece_time:1476524083.020802975
1476524063.360756360756: rece_time:1476524084.020885944
1476524064.360909360909: rece_time:1476524085.021125078
1476524065.361545361545: rece_time:1476524086.021718979
1476524066.360850360850: rece_time:1476524087.021101952
1476524067.360760360760: rece_time:1476524088.020972013
1476524068.360798360798: rece_time:1476524089.020982981
1476524069.360999360999: rece_time:1476524090.021316051
1476524070.361013361013: rece_time:1476524091.021292925
1476524071.361063361063: rece_time:1476524092.021308899
1476524072.361172361172: rece_time:1476524093.021491051
1476524073.361187361187: rece_time:1476524094.021559954
1476524074.360958360958: rece_time:1476524095.021332979
1476524075.361188361188: rece_time:1476524096.021636963
1476524076.361034361034: rece_time:1476524097.021507025
1476524077.361022361022: rece_time:1476524098.021392107
1476524078.361133361133: rece_time:1476524099.021527052
1476524079.361059361059: rece_time:1476524100.021615982
1476524080.361215361215: rece_time:1476524101.021635056
1476524081.361137361137: rece_time:1476524102.021636009
1476524082.361146361146: rece_time:1476524103.021662951
1476524083.361294361294: rece_time:1476524104.021795034
1476524084.361687361687: rece_time:1476524105.022217035
1476524085.361240361240: rece_time:1476524106.021855116
1476524086.361360361360: rece_time:1476524107.021866083
1476524087.361281361281: rece_time:1476524108.021899939
1476524088.361447361447: rece_time:1476524109.021956921
1476524089.361352361352: rece_time:1476524110.021914005
1476524090.361738361738: rece_time:1476524111.022334099
1476524091.361390361390: rece_time:1476524112.022109985
1476524092.361418361418: rece_time:1476524113.022136927
1476524093.361468361468: rece_time:1476524114.022217989
1476524094.361680361680: rece_time:1476524115.022286892
1476524095.361670361670: rece_time:1476524116.022329092
1476524096.361940361940: rece_time:1476524117.022614002
1476524097.361746361746: rece_time:1476524118.022471905
1476524098.361689361689: rece_time:1476524119.022376060
1476524099.361713361713: rece_time:1476524120.022406101
1476524100.361720361720: rece_time:1476524121.022484064
1476524101.361791361791: rece_time:1476524122.022608042
1476524102.361702361702: rece_time:1476524123.022525072
1476524103.361702361702: rece_time:1476524124.022496939
1476524104.361769361769: rece_time:1476524125.022543907
1476524105.361803361803: rece_time:1476524126.022707939
1476524106.361935361935: rece_time:1476524127.022869110
1476524107.361814361814: rece_time:1476524128.022605896
1476524108.361814361814: rece_time:1476524129.022603035
1476524109.361953361953: rece_time:1476524130.022774935
1476524110.361899361899: rece_time:1476524131.022789001
1476524111.362046362046: rece_time:1476524132.022989035
1476524112.362095362095: rece_time:1476524133.022983074
1476524113.361975361975: rece_time:1476524134.022872925
1476524114.362228362228: rece_time:1476524135.023288965
1476524115.361999361999: rece_time:1476524136.022972107
1476524116.362179362179: rece_time:1476524137.023220062
1476524117.362270362270: rece_time:1476524138.023250103
1476524118.362148362148: rece_time:1476524139.023133993
1476524119.358742358742: rece_time:1476524140.019768953
1476524120.362139362139: rece_time:1476524141.023175001
1476524121.362136362136: rece_time:1476524142.023191929
1476524122.362192362192: rece_time:1476524143.023274899
1476524123.362301362301: rece_time:1476524144.023427010
1476524124.362211362211: rece_time:1476524145.023325920
1476524125.362306362306: rece_time:1476524146.023483038
1476524126.362497362497: rece_time:1476524147.023718119
1476524127.362680362680: rece_time:1476524148.023920059
1476524128.362371362371: rece_time:1476524149.023487091
1476524129.362504362504: rece_time:1476524150.023639917
1476524130.362404362404: rece_time:1476524151.023741961
1476524131.362475362475: rece_time:1476524152.023751020
1476524132.362517362517: rece_time:1476524153.023747921
1476524133.362539362539: rece_time:1476524154.023811102
1476524134.362473362473: rece_time:1476524155.023761988
1476524135.362473362473: rece_time:1476524156.023833990
1476524136.362594362594: rece_time:1476524157.023967028
1476524137.362557362557: rece_time:1476524158.023895025
1476524138.362664362664: rece_time:1476524159.024064064
1476524139.362747362747: rece_time:1476524160.024121046
1476524140.362720362720: rece_time:1476524161.024064064
1476524141.362666362666: rece_time:1476524162.024118900
1476524142.362684362684: rece_time:1476524163.024138927
1476524143.362859362859: rece_time:1476524164.024274111
1476524144.362747362747: rece_time:1476524165.024130106
1476524145.371596371596: rece_time:1476524166.033097982
1476524146.362753362753: rece_time:1476524167.024247885
1476524147.362856362856: rece_time:1476524168.024359941
1476524148.362911362911: rece_time:1476524169.024403095
1476524149.362869362869: rece_time:1476524170.024385929
1476524150.362893362893: rece_time:1476524171.024411917
1476524151.362975362975: rece_time:1476524172.024674892
1476524152.363139363139: rece_time:1476524173.024768114
1476524153.362952362952: rece_time:1476524174.024482965
1476524154.363203363203: rece_time:1476524175.024765015
1476524155.363031363031: rece_time:1476524176.024653912
1476524156.363156363156: rece_time:1476524177.024807930
1476524157.363145363145: rece_time:1476524178.024775028
1476524158.363138363138: rece_time:1476524179.024759054
1476524159.363180363180: rece_time:1476524180.024888992
1476524160.363368363368: rece_time:1476524181.025003910
1476524161.363144363144: rece_time:1476524182.024837971
1476524162.365811365811: rece_time:1476524183.027484894
1476524163.360241360241: rece_time:1476524184.022006989
1476524164.363280363280: rece_time:1476524185.025038004
1476524165.363393363393: rece_time:1476524186.025141954
1476524166.363344363344: rece_time:1476524187.025088072
1476524167.363365363365: rece_time:1476524188.025120020
1476524168.363327363327: rece_time:1476524189.025125980
1476524169.363579363579: rece_time:1476524190.025429010
1476524170.363367363367: rece_time:1476524191.025180101
1476524171.363420363420: rece_time:1476524192.025305986
1476524172.363525363525: rece_time:1476524193.025343895
1476524173.363481363481: rece_time:1476524194.025398970
1476524174.363569363569: rece_time:1476524195.025532007
1476524175.363572363572: rece_time:1476524196.025526047
1476524176.363632363632: rece_time:1476524197.025595903
1476524177.363662363662: rece_time:1476524198.025631905
1476524178.363762363762: rece_time:1476524199.025798082
1476524179.363703363703: rece_time:1476524200.025652885
1476524180.363715363715: rece_time:1476524201.025707006
1476524181.363664363664: rece_time:1476524202.025753021
1476524182.363861363861: rece_time:1476524203.025831938
1476524183.363820363820: rece_time:1476524204.025912046
1476524184.363750363750: rece_time:1476524205.025743008
1476524185.363759363759: rece_time:1476524206.025816917
1476524186.363791363791: rece_time:1476524207.025851965
1476524187.364261364261: rece_time:1476524208.026384115
1476524188.363899363899: rece_time:1476524209.026025057
1476524189.363963363963: rece_time:1476524210.026160002
1476524190.363881363881: rece_time:1476524211.026079893
1476524191.364454364454: rece_time:1476524212.026575089
1476524192.364158364158: rece_time:1476524213.026428938
1476524193.364048364048: rece_time:1476524214.026254892
1476524194.364014364014: rece_time:1476524215.026271105
1476524195.364034364034: rece_time:1476524216.026149988
1476524196.364085364085: rece_time:1476524217.026333094
1476524197.364128364128: rece_time:1476524218.026344061
1476524198.364104364104: rece_time:1476524219.026370049
1476524199.364143364143: rece_time:1476524220.026361942
1476524200.364202364202: rece_time:1476524221.026580095
1476524201.364148364148: rece_time:1476524222.026396990
1476524202.364653364653: rece_time:1476524223.026976109
1476524203.364428364428: rece_time:1476524224.026746988
1476524204.364278364278: rece_time:1476524225.026684999
1476524205.364346364346: rece_time:1476524226.026819944
1476524206.364517364517: rece_time:1476524227.026968002
1476524207.364338364338: rece_time:1476524228.026774883
1476524208.364480364480: rece_time:1476524229.026865005
1476524209.371615371615: rece_time:1476524230.034024000
1476524210.364517364517: rece_time:1476524231.027061939
1476524211.364720364720: rece_time:1476524232.027168989
1476524212.364611364611: rece_time:1476524233.027085066
1476524213.364656364656: rece_time:1476524234.027082920
1476524214.364486364486: rece_time:1476524235.027013063
1476524215.364536364536: rece_time:1476524236.027023077
1476524216.364594364594: rece_time:1476524237.027156115
1476524217.364725364725: rece_time:1476524238.027292013
1476524218.364620364620: rece_time:1476524239.027209044
1476524219.364667364667: rece_time:1476524240.027224064
1476524220.364753364753: rece_time:1476524241.027431011
1476524221.364811364811: rece_time:1476524242.027467012
1476524222.364697364697: rece_time:1476524243.027321100
1476524223.365415365415: rece_time:1476524244.028084993
1476524224.364958364958: rece_time:1476524245.027632952
1476524225.364819364819: rece_time:1476524246.027534008
1476524226.364882364882: rece_time:1476524247.027561903
1476524227.365048365048: rece_time:1476524248.027821064
1476524228.364875364875: rece_time:1476524249.027681112
1476524229.365104365104: rece_time:1476524250.027915001
1476524230.364957364957: rece_time:1476524251.027816057
1476524231.365112365112: rece_time:1476524252.027939081
1476524232.365029365029: rece_time:1476524253.027851105
1476524233.365261365261: rece_time:1476524254.028136969
1476524234.365177365177: rece_time:1476524255.028017044
1476524235.365122365122: rece_time:1476524256.028036118
1476524236.365080365080: rece_time:1476524257.027981043
1476524237.365111365111: rece_time:1476524258.027982950
1476524238.365167365167: rece_time:1476524259.028085947
1476524239.365223365223: rece_time:1476524260.028165102
1476524240.365245365245: rece_time:1476524261.028155088
1476524241.365182365182: rece_time:1476524262.028199911
1476524242.365244365244: rece_time:1476524263.028218031
1476524243.365210365210: rece_time:1476524264.028198004
1476524244.365312365312: rece_time:1476524265.028302908
1476524245.365265365265: rece_time:1476524266.028255939
1476524246.365357365357: rece_time:1476524267.028460979
1476524247.365383365383: rece_time:1476524268.028467894
1476524248.365613365613: rece_time:1476524269.028726101
1476524249.365688365688: rece_time:1476524270.028779030
1476524250.365402365402: rece_time:1476524271.028520107
1476524251.365526365526: rece_time:1476524272.028708935
1476524252.365459365459: rece_time:1476524273.028656960
