1473408318.392125: rece_time:1473408329.605827093
1473408854.439702: rece_time:1473408865.618665934
1473408855.514204: rece_time:1473408866.626096964
1473408856.491988: rece_time:1473408867.623945951
1473408857.491988: rece_time:1473408868.623923063
1473408858.491988: rece_time:1473408869.624011040
1473408859.491979: rece_time:1473408870.623892069
1473408860.478486: rece_time:1473408871.622658968
1473408861.491982: rece_time:1473408872.623912096
1473408862.491987: rece_time:1473408873.623958111
1473408863.492002: rece_time:1473408874.623965979
1473408864.491981: rece_time:1473408875.623985052
1473408865.542341: rece_time:1473408876.629024029
1473408866.492001: rece_time:1473408877.624020100
1473408867.491982: rece_time:1473408878.624115944
1473408868.534436: rece_time:1473408879.628387928
1473408869.491989: rece_time:1473408880.624156952
1473408870.535498: rece_time:1473408881.628439903
1473408871.516820: rece_time:1473408882.626583099
1473408872.460630: rece_time:1473408883.620939970
1473408873.491942: rece_time:1473408884.624130011
1473408874.491976: rece_time:1473408885.624181032
1473408875.491989: rece_time:1473408886.624231100
1473408876.462743: rece_time:1473408887.621298075
1473408877.463146: rece_time:1473408888.621402025
1473408878.457782: rece_time:1473408889.620919943
1473408879.476985: rece_time:1473408890.622818947
1473408880.491941: rece_time:1473408891.624237061
1473408881.492004: rece_time:1473408892.624294996
1473408882.491976: rece_time:1473408893.624337912
1473408883.472960: rece_time:1473408894.622500896
1473408884.494255: rece_time:1473408895.624655962
1473408885.492004: rece_time:1473408896.624391079
1473408886.536777: rece_time:1473408897.628861904
1473408887.518891: rece_time:1473408898.627093077
1473408888.492001: rece_time:1473408899.624526024
1473408889.516087: rece_time:1473408900.626879930
1473408890.460859: rece_time:1473408901.621309996
1473408891.461634: rece_time:1473408902.621414900
1473408892.466695: rece_time:1473408903.621968985
1473408893.491982: rece_time:1473408904.624464989
1473408894.491983: rece_time:1473408905.624505997
1473408895.462861: rece_time:1473408906.621617079
1473408896.514414: rece_time:1473408907.626796007
1473408897.515690: rece_time:1473408908.626959085
1473408898.529774: rece_time:1473408909.628343105
1473408899.579852: rece_time:1473408910.633387089
1473408900.592009: rece_time:1473408911.634725094
1473408901.491996: rece_time:1473408912.624713898
1473408902.467818: rece_time:1473408913.622258902
1473408903.462008: rece_time:1473408914.621639013
1473408904.491998: rece_time:1473408915.624664068
1473408905.491986: rece_time:1473408916.624622107
1473408906.491989: rece_time:1473408917.624644041
1473408907.515044: rece_time:1473408918.627079964
1473408908.465688: rece_time:1473408919.622080088
1473408909.469474: rece_time:1473408920.622493982
1473408910.491992: rece_time:1473408921.624716997
1473408911.491982: rece_time:1473408922.624813080
1473408912.559395: rece_time:1473408923.631583929
1473408913.534020: rece_time:1473408924.628946066
1473408914.592075: rece_time:1473408925.634885073
1473408915.558090: rece_time:1473408926.631401062
1473408916.535062: rece_time:1473408927.629133940
1473408917.528701: rece_time:1473408928.628554106
1473408918.491977: rece_time:1473408929.624840021
1473408919.475009: rece_time:1473408930.623254061
1473408920.514507: rece_time:1473408931.627104044
1473408921.491997: rece_time:1473408932.624953985
1473408922.491975: rece_time:1473408933.624964952
1473408923.534085: rece_time:1473408934.629185915
1473408924.519622: rece_time:1473408935.627705097
1473408925.491986: rece_time:1473408936.625042915
1473408926.527168: rece_time:1473408937.628506899
1473408927.516681: rece_time:1473408938.627438068
1473408928.477646: rece_time:1473408939.623574018
1473408929.488761: rece_time:1473408940.624753952
1473408930.491993: rece_time:1473408941.624967098
1473408931.491992: rece_time:1473408942.625011921
1473408932.543255: rece_time:1473408943.630179882
1473408933.491980: rece_time:1473408944.625046968
1473408934.548087: rece_time:1473408945.630700111
1473408935.491994: rece_time:1473408946.625147104
1473408936.516685: rece_time:1473408947.627600908
1473408937.491986: rece_time:14734
